Depth (m),qc (MPa),fs (kPa),Rf (%),u2 (kPa),gamma (kN/m3),M (MN/m2),OCR (-),su (kPa),sampling_name(-)
4.430000000000001,0.5377500000000001,5.383333333333333,1.001084766775143,352.90000000000003,19.75,,,,Norway_site
7.5,0.5155800000000001,2.2600000000000002,0.43834128554249574,424.9,19.7,,,,Norway_site
10.37,0.6114666666666666,4.633333333333333,0.7577409507195814,521.2333333333332,19.33,5.5,1.39,,Norway_site
13.53,0.786,7.366666666666667,0.9372349448685326,556.1833333333333,19.61,6.5,1.3,,Norway_site
16.560000000000002,0.85322,7.24,0.8485501980731817,634.52,19.46,9.5,1.56,,Norway_site
19.5,0.8301000000000001,11,1.3251415492109384,896.8399999999999,19.91,10.3,1.37,,Norway_site
4.33,0.5775166666666666,5.333333333333333,0.9234942714495976,365.75,19.2,,,22,Norway_site
7.4,0.49528,2.38,0.48053626231626556,409.93999999999994,19.2,,,32.2,Norway_site
10.469999999999999,0.6648,3.7333333333333343,0.5615724027276375,530.1666666666666,19.1,,1.4,41.5,Norway_site
13.419999999999998,0.7619399999999998,6.08,0.7979630942068932,551.7,19.7,,1.3,57.5,Norway_site
16.46,0.81824,5.68,0.6941728588189284,636.74,19.5,,1.6,66.6,Norway_site
19.47,0.9115833333333333,10.083333333333334,1.1061340159063902,915.4666666666667,19.5,,1.4,72.4,Norway_site
6.31,0.44060000000000005,14.583333333333334,3.309880466,385.79999999999995,18.34,3.2,1.93,,Norway_site
9.52,0.5525599999999999,14.080000000000002,2.548139568553642,410.6,18.93,5.5,1.48,,Norway_site
12.499999999999998,0.63472,16.4,2.583816486009579,569.78,19.54,6,1.64,,Norway_site
15.3,0.66968,13,1.9412256600167241,639.74,19.63,6.5,1.74,,Norway_site
18.33,0.8054166666666668,12.083333333333334,1.5002586652871184,759.9833333333335,19.67,5.5,1.21,,Norway_site
21.5,0.9502600000000001,20.119999999999997,2.117315261086439,895.0200000000001,20.13,7.2,1.01,,Norway_site
24.330000000000002,1.04385,15.216666666666667,1.4577445673867575,1015.5500000000001,19.19,11.5,1.51,,Norway_site
9.43,0.5560499999999999,16.45,2.9583670533225432,408,18.8,,1.5,37,Norway_site
12.43,0.6388666666666666,17,2.6609621204215803,574.3833333333333,19.3,,1.6,49,Norway_site
15.419999999999998,0.6778,12.4,1.8294482148126294,642.04,19.2,,1.7,55.3,Norway_site
18.580000000000002,0.87256,15.3,1.7534610800403412,812.9599999999999,19.4,,1.2,64.6,Norway_site
21.429999999999996,0.9790833333333334,23.266666666666666,2.3763724572304024,899.3833333333333,20.5,,1,70.8,Norway_site
24.429999999999996,1.0502666666666665,18.916666666666668,1.8011298717785964,1026.8166666666666,19.4,,1.5,85.5,Norway_site
6.4,0.44308000000000003,14.459999999999999,3.263519003340254,387.4,18.9,,1.9,26.9,Norway_site
6.069999999999999,0.43295,12.966666666666667,2.994957077414636,388.36666666666673,19.4,,,,Norway_site
6.069999999999999,0.43295,12.966666666666667,2.994957077414636,388.36666666666673,19.2,,,,Norway_site
6.45,0.4603,14.066666666666665,3.0559779853718583,381.11666666666673,18.9,3.8,1.39,,Norway_site
9.85,0.5533666666666667,12.566666666666668,2.2709475332811278,419.51666666666665,19.3,,,,Norway_site
10.36,0.5886199999999999,13.039999999999997,2.215351160341137,454.5,18.8,4.5,1.65,,Norway_site
14.730000000000002,0.6957666666666666,12.916666666666666,1.8564652900876732,648.7500000000001,19.2,6.5,1.46,,Norway_site
15.540000000000001,0.67564,12.66,1.8737789355277958,645.72,19.8,8.7,1.64,,Norway_site
19.6,0.88484,15,1.6952217350029386,826.2199999999999,19.1,8,1.31,,Norway_site
20.029999999999998,0.9160333333333334,17.683333333333334,1.930424657,845.9333333333333,19.5,6.5,1.34,,Norway_site
6.18,0.44986,13.34,2.9653670030676214,387.42,19.5,,1.4,23,Norway_site
6.18,0.44986,13.34,2.9653670030676214,387.42,19.5,,1.4,24,Norway_site
10.5,0.5637800000000001,13.280000000000001,2.355528752350207,465.76000000000005,18.8,,1.65,46.5,Norway_site
10.450000000000001,0.5722833333333333,13.533333333333333,2.3647959926609783,460.7333333333333,18.8,,1.65,46.5,Norway_site
14.87,0.72735,13.783333333333333,1.8950069888407688,661.7166666666666,19.3,,1.46,54,Norway_site
14.87,0.72735,13.783333333333333,1.8950069888407688,661.7166666666666,19.4,,1.46,52.5,Norway_site
20.13,0.9101666666666667,15.9,1.7469327961911738,845.1,19.2,,1.34,77,Norway_site
